ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
523,13001,67,0.3%,2008,WAGNER DIAS DE MEDEIROS,PT,VEREADOR
524,20122,67,0.3%,2008,ROGÉRIO XAVIER,PSC,VEREADOR
525,45007,67,0.3%,2008,PATRICIA AMORIM SIHMAN,PSDB,VEREADOR
526,25622,65,0.3%,2008,CARLO FERREIRA DE CAIADO CASTRO,DEM,VEREADOR
527,33,64,0.3%,2008,NA,NA,NA
528,20010,59,0.3%,2008,MARCIO HENRIQUE CRUZ PACHECO,PSC,VEREADOR
529,20456,57,0.3%,2008,JOSIMILSON RAIMUNDO DOS SANTOS,PSC,VEREADOR
530,27777,57,0.3%,2008,LUIZ CLAUDIO  DE OLIVEIRA,PSDC,VEREADOR
531,45001,56,0.3%,2008,LUIZ ANTONIO CHRISPIM GUARANÁ,PSDB,VEREADOR
532,15123,50,0.2%,2008,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,PMDB,VEREADOR
533,17017,50,0.2%,2008,JURANI FERREIRA DA ROSA,PSL,VEREADOR
534,43333,43,0.2%,2008,ALFREDO HÉLIO SYRKIS,PV,VEREADOR
535,45748,43,0.2%,2008,ANTÔNIO DE ARAÚJO MEDEIROS SILVA,PSDB,VEREADOR
536,11224,41,0.2%,2008,ROBERVAL BATISTA DE UZEDA,PP,VEREADOR
537,12605,41,0.2%,2008,SAMI JORGE HADDAD ABDULMACIH,PDT,VEREADOR
538,21,39,0.2%,2008,NA,NA,NA
539,10026,39,0.2%,2008,JORGE LUIZ DA SILVA MOTTA,PRB,VEREADOR
540,43123,39,0.2%,2008,ASPASIA BRASILEIRO ALCANTARA DE CAMARGO,PV,VEREADOR
541,27000,38,0.2%,2008,IGOR GOMES PEREIRA  SOUTO,PSDC,VEREADOR
542,50,36,0.2%,2008,NA,NA,NA
543,12787,36,0.2%,2008,NEREIDE FERREIRA PEDREGAL,PDT,VEREADOR
544,14123,36,0.2%,2008,CRISTIANE BRASIL FRANCISCO,PTB,VEREADOR
545,12555,35,0.2%,2008,CARLOS EDUARDO PETRA LOPES DE CARVALHO,PDT,VEREADOR
546,27999,34,0.2%,2008,JOÃO RICARDO RIBAS  JUNIOR,PSDC,VEREADOR
547,25678,33,0.2%,2008,EIDER RIBEIRO DANTAS FILHO,DEM,VEREADOR
548,11,32,0.2%,2008,NA,NA,NA
549,25000,32,0.2%,2008,SILVERIO TELES BAETA ZEBRAL FILHO,DEM,VEREADOR
550,25555,32,0.2%,2008,CÉLIO CESAR LUPPARELLI FARIA,DEM,VEREADOR
551,15101,3392,14.6%,2012,JOÃO FRANCISCO INÁCIO BRAZÃO,PMDB,VEREADOR
552,95,2948,12.7%,2012,NA,NA,NA
553,15,1523,6.6%,2012,NA,NA,NA
554,25888,1441,6.2%,2012,CARLOS ALBERTO LAVRADO CUPELLO,DEM,VEREADOR
555,96,1073,4.6%,2012,NA,NA,NA
556,40003,1009,4.4%,2012,JOSE CARLOS DA SILVA,PSB,VEREADOR
557,10000,692,3%,2012,WAGNER MONTES,PRB,VEREADOR
