ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
786,25777,147,0.6%,2018,SAMUEL MALAFAIA,DEM,DEPUTADO ESTADUAL
787,35007,143,0.6%,2018,MARCO VIDAL,PMB,DEPUTADO ESTADUAL
788,20010,137,0.5%,2018,MARCIO PACHECO,PSC,DEPUTADO ESTADUAL
789,15212,115,0.5%,2018,GUSTAVO TUTUCA,MDB,DEPUTADO ESTADUAL
790,30300,110,0.4%,2018,RAFAEL HATAB,NOVO,DEPUTADO ESTADUAL
791,NA,107,0.4%,2018,PR,NA,NA
792,17500,104,0.4%,2018,CORONEL SALEMA,PSL,DEPUTADO ESTADUAL
793,17017,100,0.4%,2018,ANDERSON MORAES,PSL,DEPUTADO ESTADUAL
794,NA,99,0.4%,2018,PRB,NA,NA
795,55021,98,0.4%,2018,ROSANE FELIX,PSD,DEPUTADO ESTADUAL
796,12040,95,0.4%,2018,DELEGADA MARTHA ROCHA,PDT,DEPUTADO ESTADUAL
797,50888,93,0.4%,2018,MÔNICA FRANCISCO,PSOL,DEPUTADO ESTADUAL
798,45678,91,0.4%,2018,LUIZ PAULO,PSDB,DEPUTADO ESTADUAL
799,77200,91,0.4%,2018,OTONI DE PAULA PAI,SOLIDARIEDADE,DEPUTADO ESTADUAL
800,50050,85,0.3%,2018,DANI MONTEIRO,PSOL,DEPUTADO ESTADUAL
801,51332,82,0.3%,2018,LIDI NOGUEIRA,PATRI,DEPUTADO ESTADUAL
802,NA,82,0.3%,2018,SOLIDARIEDADE,NA,NA
803,55045,80,0.3%,2018,DELEGADO CARLOS AUGUSTO,PSD,DEPUTADO ESTADUAL
804,NA,80,0.3%,2018,PSD,NA,NA
805,45620,79,0.3%,2018,LUCINHA,PSDB,DEPUTADO ESTADUAL
806,17121,78,0.3%,2018,CARLOS BIGU,PSL,DEPUTADO ESTADUAL
807,25010,77,0.3%,2018,MILTON RANGEL,DEM,DEPUTADO ESTADUAL
808,40000,74,0.3%,2018,CARLOS MINC,PSB,DEPUTADO ESTADUAL
809,11015,73,0.3%,2018,MARCELO QUEIROZ,PP,DEPUTADO ESTADUAL
810,12212,72,0.3%,2018,CIDINHA CAMPOS,PDT,DEPUTADO ESTADUAL
811,NA,2912,11.6%,2018,Branco,NA,NA
812,NA,2864,11.4%,2018,Nulo,NA,NA
813,7070,2375,9.5%,2018,CHIQUINHO BRAZÃO,AVANTE,DEPUTADO FEDERAL
814,NA,1427,5.7%,2018,TIO CARLOS,NA,NA
815,5050,1309,5.2%,2018,MARCELO FREIXO,PSOL,DEPUTADO FEDERAL
816,1720,632,2.5%,2018,HELIO FERNANDO BARBOSA LOPES,PSL,DEPUTADO FEDERAL
817,4040,581,2.3%,2018,ALESSANDRO MOLON,PSB,DEPUTADO FEDERAL
818,6565,553,2.2%,2018,JANDIRA FEGHALI,PC do B,DEPUTADO FEDERAL
819,NA,515,2.1%,2018,JORGE BRAZ,NA,NA
820,2050,503,2%,2018,OTONI DE PAULA,PSC,DEPUTADO FEDERAL
821,NA,489,2%,2018,REIMONT,NA,NA
822,NA,403,1.6%,2018,PSL,NA,NA
823,NA,368,1.5%,2018,PT,NA,NA
824,1777,347,1.4%,2018,CARLOS JORDY,PSL,DEPUTADO FEDERAL
825,1707,342,1.4%,2018,CHAGAS BOLA,PSL,DEPUTADO FEDERAL
826,5593,283,1.1%,2018,FLORDELIS,PSD,DEPUTADO FEDERAL
827,NA,275,1.1%,2018,LUIZ LIMA,NA,NA
828,1778,231,0.9%,2018,SANDRO DE MOURA,PSL,DEPUTADO FEDERAL
829,1010,192,0.8%,2018,WAGNER MONTES,PRB,DEPUTADO FEDERAL
830,1555,185,0.7%,2018,ANDRÉ LAZARONI,MDB,DEPUTADO FEDERAL
831,4555,183,0.7%,2018,OTAVIO LEITE,PSDB,DEPUTADO FEDERAL
832,5077,172,0.7%,2018,TALÍRIA PETRONE,PSOL,DEPUTADO FEDERAL
833,1770,164,0.7%,2018,ROMMEL,PSL,DEPUTADO FEDERAL
834,NA,163,0.7%,2018,BENEDITA DA SILVA,NA,NA
835,44167,163,0.7%,2018,MARCOS SOARES,PRP,DEPUTADO ESTADUAL
836,2533,163,0.7%,2018,MARCOS SOARES,DEM,DEPUTADO FEDERAL
837,NA,154,0.6%,2018,PDT,NA,NA
838,1313,153,0.6%,2018,QUAQUA,PT,DEPUTADO FEDERAL
839,1818,146,0.6%,2018,EDUARDO BANDEIRA DE MELLO,REDE,DEPUTADO FEDERAL
840,2501,142,0.6%,2018,PEDRO PAULO,DEM,DEPUTADO FEDERAL
841,2227,139,0.6%,2018,LUIZ CARLOS RAMOS DO CHAPEU,PR,DEPUTADO FEDERAL
842,NA,138,0.6%,2018,MARCELO CRIVELLA FILHO,NA,NA
843,2525,136,0.5%,2018,LAURA CARNEIRO,DEM,DEPUTADO FEDERAL
844,1746,134,0.5%,2018,MAJOR FABIANA,PSL,DEPUTADO FEDERAL
845,5580,117,0.5%,2018,PEDRO AUGUSTO,PSD,DEPUTADO FEDERAL
846,NA,115,0.5%,2018,DEM,NA,NA
847,3030,115,0.5%,2018,PAULO GANIME,NOVO,DEPUTADO FEDERAL
848,1580,109,0.4%,2018,LEONARDO PICCIANI,MDB,DEPUTADO FEDERAL
849,3033,105,0.4%,2018,MAURIZIO SPINELLI,NOVO,DEPUTADO FEDERAL
850,3501,104,0.4%,2018,RABELO,PMB,DEPUTADO FEDERAL
851,2587,103,0.4%,2018,RODRIGO MAIA,DEM,DEPUTADO FEDERAL
852,1577,98,0.4%,2018,MARCO ANTÔNIO CABRAL,MDB,DEPUTADO FEDERAL
853,5510,93,0.4%,2018,HUGO LEAL,PSD,DEPUTADO FEDERAL
854,2577,92,0.4%,2018,SÓSTENES,DEM,DEPUTADO FEDERAL
855,1798,90,0.4%,2018,SARGENTO GURGEL,PSL,DEPUTADO FEDERAL
856,5000,87,0.3%,2018,DAVID MIRANDA,PSOL,DEPUTADO FEDERAL
857,1752,87,0.3%,2018,MÁRCIO LABRE,PSL,DEPUTADO FEDERAL
858,1747,86,0.3%,2018,COMANDANTE SERGIO WEYDT,PSL,DEPUTADO FEDERAL
859,1820,83,0.3%,2018,PR MÁRCIO MATOS,REDE,DEPUTADO FEDERAL
860,NA,82,0.3%,2018,CELSO PANSERA,NA,NA
861,NA,10412,20.8%,2018,Nulo,NA,NA
862,177,8729,17.4%,2018,FLÁVIO BOLSONARO,PSL,SENADOR
863,NA,7505,15%,2018,Branco,NA,NA
864,131,6014,12%,2018,LINDBERGH,PT,SENADOR
865,255,5286,10.5%,2018,CESAR MAIA,DEM,SENADOR
866,555,4243,8.5%,2018,AROLDE DE OLIVEIRA,PSD,SENADOR
867,500,3350,6.7%,2018,CHICO ALENCAR,PSOL,SENADOR
868,100,1315,2.6%,2018,SENADOR EDUARDO LOPES,PRB,SENADOR
869,123,817,1.6%,2018,JOSE BONIFACIO,PDT,SENADOR
870,188,656,1.3%,2018,MIRO TEIXEIRA,REDE,SENADOR
871,200,608,1.2%,2018,PASTOR EVERALDO,PSC,SENADOR
872,455,581,1.2%,2018,ASPASIA,PSDB,SENADOR
873,281,245,0.5%,2018,MATTOS NASCIMENTO,PRTB,SENADOR
874,161,105,0.2%,2018,CYRO CARGIA,PSTU,SENADOR
875,211,102,0.2%,2018,MARTA BARÇANTE,PCB,SENADOR
876,355,73,0.1%,2018,GABRIELLE BURCCI,PMB,SENADOR
877,290,30,0.1%,2018,FERNANDO FAGUNDES RIBEIRO,PCO,SENADOR
878,511,30,0.1%,2018,WALTER CRISTIE SILVA AGUIAR,PATRI,SENADOR
879,160,17,0%,2018,SAMANTHA GUEDES,PSTU,SENADOR
